id, Race , Party ,Sex, Age  ,house district, Trial     , LettersSent , 2008_11_04       , 2010_11_02       , 2012_11_06       , 2014_11_04       , 2016_11_08        , 2018_11_06       
23, B    , DEM   , F      ,61,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , DID NOT VOTE     
24, W    , DEM   , F      ,42,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
25, W    , UNA   , F      ,65,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
26, W    , DEM   , F      ,49,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
27, W    , DEM   , F      ,31,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
28, U    , UNA   , U      ,57,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , PROVISIONAL       , IN-PERSON        
29, U    , DEM   , U      ,20,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
30, B    , UNA   , F      ,19,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
31, W    , UNA   , F      ,51,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
32, B    , DEM   , F      ,48,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , PROVISIONAL       , IN-PERSON        
33, W    , DEM   , F      ,83,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE BY MAIL , ABSENTEE ONESTOP  , IN-PERSON        
34, W    , UNA   , F      ,79,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , IN-PERSON         , DID NOT VOTE     
35, W    , DEM   , F      ,38,1, CONTROL   ,0, DID NOT VOTE     , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
36, B    , DEM   , F      ,80,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
37, W    , UNA   , F      ,36,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , DID NOT VOTE     
38, W    , DEM   , F      ,61,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
39, W    , DEM   , F      ,55,1, CONTROL   ,0, ABSENTEE BY MAIL , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
40, W    , DEM   , F      ,40,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
41, W    , UNA   , F      ,34,1, CONTROL   ,0, ABSENTEE BY MAIL , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , DID NOT VOTE     
42, B    , DEM   , F      ,43,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
43, W    , DEM   , F      ,76,1, CONTROL   ,0, DID NOT VOTE     , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , DID NOT VOTE     
44, O    , UNA   , F      ,40,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
45, W    , DEM   , F      ,52,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE BY MAIL 
46, W    , UNA   , F      ,62,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , DID NOT VOTE     
47, W    , DEM   , F      ,43,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
48, W    , UNA   , F      ,57,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
49, W    , DEM   , F      ,39,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , DID NOT VOTE     
50, W    , UNA   , F      ,64,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , ABSENTEE ONESTOP , IN-PERSON         , DID NOT VOTE     
51, W    , DEM   , F      ,31,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
52, B    , DEM   , F      ,26,1, CONTROL   ,0, NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
53, W    , DEM   , F      ,47,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , ABSENTEE BY MAIL , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
54, W    , UNA   , F      ,26,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
55, B    , DEM   , F      ,44,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
56, W    , UNA   , F      ,41,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
57, W    , UNA   , F      ,27,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
58, W    , DEM   , F      ,71,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
59, W    , DEM   , F      ,57,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
60, W    , UNA   , F      ,38,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
61, A    , UNA   , F      ,39,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
62, W    , DEM   , F      ,24,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE BY MAIL  , DID NOT VOTE     
63, A    , DEM   , F      ,63,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
64, W    , DEM   , F      ,63,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
65, W    , DEM   , F      ,51,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
66, W    , DEM   , F      ,38,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE BY MAIL 
67, A    , DEM   , F      ,73,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
68, B    , DEM   , F      ,34,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
69, B    , UNA   , F      ,19,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
70, U    , DEM   , U      ,52,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
71, W    , DEM   , F      ,46,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
72, W    , DEM   , F      ,68,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
73, B    , DEM   , F      ,68,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
74, W    , DEM   , F      ,45,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
75, W    , DEM   , F      ,53,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
76, W    , DEM   , F      ,60,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
77, W    , DEM   , F      ,57,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
78, W    , UNA   , F      ,55,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
79, W    , DEM   , F      ,69,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , DID NOT VOTE     
80, W    , DEM   , F      ,46,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
81, W    , DEM   , F      ,43,1, CONTROL   ,0, IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , DID NOT VOTE      , DID NOT VOTE     
82, B    , DEM   , F      ,42,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
83, W    , DEM   , F      ,49,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , DID NOT VOTE      , DID NOT VOTE     
84, B    , DEM   , F      ,67,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , DID NOT VOTE     
85, W    , DEM   , F      ,55,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
86, W    , DEM   , F      ,72,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE      , DID NOT VOTE     
87, B    , DEM   , F      ,59,1, CONTROL   ,0, DID NOT VOTE     , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , DID NOT VOTE     
88, W    , DEM   , F      ,52,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
89, W    , UNA   , F      ,46,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
90, W    , DEM   , F      ,64,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , DID NOT VOTE     
91, W    , UNA   , F      ,48,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , IN-PERSON         , DID NOT VOTE     
92, W    , UNA   , F      ,41,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
93, W    , DEM   , F      ,60,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , ABSENTEE ONESTOP , IN-PERSON         , DID NOT VOTE     
94, W    , DEM   , F      ,42,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
95, W    , DEM   , F      ,43,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
96, W    , UNA   , F      ,42,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , ABSENTEE ONESTOP 
97, W    , DEM   , F      ,50,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
98, W    , UNA   , F      ,33,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE BY MAIL  , DID NOT VOTE     
99, W    , DEM   , F      ,38,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE BY MAIL , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
100, W    , DEM   , F      ,51,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
101, W    , UNA   , F      ,32,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
102, B    , DEM   , F      ,32,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
103, B    , DEM   , F      ,62,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE BY MAIL 
104, I    , DEM   , F      ,60,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
105, A    , DEM   , F      ,74,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
106, B    , UNA   , F      ,53,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
107, W    , DEM   , F      ,34,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , DID NOT VOTE     
108, W    , UNA   , F      ,32,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
109, B    , DEM   , F      ,66,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
110, B    , DEM   , F      ,42,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , ABSENTEE ONESTOP 
111, W    , UNA   , F      ,45,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
112, W    , DEM   , F      ,71,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
113, W    , UNA   , F      ,23,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , DID NOT VOTE     
114, W    , DEM   , F      ,28,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , DID NOT VOTE     
115, W    , UNA   , F      ,21,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , DID NOT VOTE     
116, W    , DEM   , F      ,38,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
117, W    , UNA   , F      ,53,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
118, O    , DEM   , F      ,53,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
119, B    , DEM   , F      ,32,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
120, B    , DEM   , F      ,57,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE BY MAIL 
121, W    , DEM   , F      ,28,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
122, O    , DEM   , F      ,36,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE      , DID NOT VOTE     
123, W    , UNA   , F      ,24,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
124, A    , UNA   , U      ,27,1, CONTROL   ,0, NOT REGISTERED   , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
125, W    , DEM   , F      ,60,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
126, W    , DEM   , F      ,63,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE BY MAIL 
127, B    , DEM   , F      ,32,1, CONTROL   ,0, IN-PERSON        , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON        , IN-PERSON         , DID NOT VOTE     
128, W    , DEM   , F      ,34,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
129, W    , DEM   , F      ,26,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
130, W    , UNA   , F      ,34,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON        , ABSENTEE CURBSIDE , ABSENTEE ONESTOP 
131, O    , UNA   , F      ,45,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
132, W    , UNA   , F      ,35,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , DID NOT VOTE     
133, W    , DEM   , F      ,42,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
134, W    , DEM   , F      ,74,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , DID NOT VOTE      , DID NOT VOTE     
135, W    , DEM   , F      ,65,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE BY MAIL  , ABSENTEE ONESTOP 
136, W    , UNA   , F      ,61,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
137, B    , UNA   , F      ,58,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
138, B    , DEM   , F      ,46,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , PROVISIONAL      , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
139, B    , DEM   , F      ,44,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
140, W    , DEM   , F      ,48,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
141, B    , DEM   , F      ,52,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
